,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Split-Encoded
3670,527,3,527-3,Leaf,,,,,0.0317533985,99.0914764,
3671,527,4,527-4,Leaf,,,,,-0.0332041644,127.529099,
3672,527,5,527-5,Leaf,,,,,0.228949994,4.46833086,
3673,527,6,527-6,Leaf,,,,,-0.0280545671,1.2532326,
3674,528,0,528-0,f5054,0.5,528-1,528-2,528-1,3.61117935,404.276337,b100
3675,528,1,528-1,f2002,0.5,528-3,528-4,528-3,3.79797053,343.370544,b100
3676,528,2,528-2,f10950,0.5,528-5,528-6,528-5,2.38435817,60.9058075,b100
3677,528,3,528-3,Leaf,,,,,-0.0197430514,324.677368,
3678,528,4,528-4,Leaf,,,,,0.11595697,18.6931705,
3679,528,5,528-5,Leaf,,,,,0.0837451294,56.4702072,
3680,528,6,528-6,Leaf,,,,,-0.126239583,4.43560314,
3681,529,0,529-0,f755,0.5,529-1,529-2,529-1,2.62748623,258.573792,b100
3682,529,1,529-1,f317,0.5,529-3,529-4,529-3,4.32784271,221.926758,b100
3683,529,2,529-2,f4837,0.5,529-5,529-6,529-5,1.90156031,36.6470108,b100
3684,529,3,529-3,Leaf,,,,,-0.0354846753,168.123657,
3685,529,4,529-4,Leaf,,,,,0.0615400486,53.8031082,
3686,529,5,529-5,Leaf,,,,,0.0960275903,33.303257,
3687,529,6,529-6,Leaf,,,,,-0.117906563,3.34375548,
3688,530,0,530-0,f45094,0.5,530-1,530-2,530-1,2.34984136,167.937637,b100
3689,530,1,530-1,f39319,-0.5,530-3,530-4,530-3,2.80478239,157.898102,b001
3690,530,2,530-2,f3259,0.5,530-5,530-6,530-5,0.585757017,10.0395317,b100
3691,530,3,530-3,Leaf,,,,,0.0765826851,40.6104507,
3692,530,4,530-4,Leaf,,,,,-0.0139907803,117.287651,
3693,530,5,530-5,Leaf,,,,,-0.158665851,8.79479218,
3694,530,6,530-6,Leaf,,,,,0.0357964635,1.24473953,
3695,531,0,531-0,f28919,0.5,531-1,531-2,531-1,2.26803136,114.36702,b100
3696,531,1,531-1,f6530,0.5,531-3,531-4,531-3,2.42075348,69.5045547,b100
3697,531,2,531-2,f36932,-0.5,531-5,531-6,531-5,2.76762486,44.8624649,b001
3698,531,3,531-3,Leaf,,,,,-0.0499583706,62.5018616,
3699,531,4,531-4,Leaf,,,,,0.125502169,7.0026927,
3700,531,5,531-5,Leaf,,,,,-0.0620989539,12.4009686,
3701,531,6,531-6,Leaf,,,,,0.100197308,32.4614983,
3702,532,0,532-0,f27210,-0.5,532-1,532-2,532-1,2.6656363,267.431549,b001
3703,532,1,532-1,f27246,-0.5,532-3,532-4,532-3,4.29747105,126.78437,b001
3704,532,2,532-2,f38,0.5,532-5,532-6,532-5,3.99138141,140.647171,b100
3705,532,3,532-3,Leaf,,,,,0.0010366604,96.6677628,
